timestamp,machine_id,chamber,recipe_id,sensor_id,metric,value,unit,status
2025-01-01T00:00:00Z,MCH0001,C1,RCP_0001,SENSOR_0001,pressure,475.597,Pa,OK
2025-01-01T00:00:05Z,MCH0001,C1,RCP_0001,SENSOR_0002,rf_power,366.811,Pa,OK
2025-01-01T00:00:10Z,MCH0001,C1,RCP_0001,SENSOR_0003,rf_power,64.63,W,OK
2025-01-01T00:00:15Z,MCH0001,C1,RCP_0001,SENSOR_0004,rf_power,359.512,C,OK
2025-01-01T00:00:20Z,MCH0001,C1,RCP_0001,SENSOR_0005,pressure,280.79,W,OK
2025-01-01T00:00:25Z,MCH0001,C1,RCP_0001,SENSOR_0001,gas_flow,496.946,W,OK
2025-01-01T00:00:30Z,MCH0001,C1,RCP_0001,SENSOR_0002,temperature,182.906,W,OK
2025-01-01T00:00:35Z,MCH0001,C1,RCP_0001,SENSOR_0003,pressure,250.429,Pa,OK
2025-01-01T00:00:40Z,MCH0001,C1,RCP_0001,SENSOR_0004,temperature,198.528,C,OK
2025-01-01T00:00:45Z,MCH0001,C1,RCP_0001,SENSOR_0005,pressure,48.207,Pa,OK
2025-01-01T00:00:50Z,MCH0001,C1,RCP_0001,SENSOR_0001,gas_flow,208.291,sccm,OK
2025-01-01T00:00:55Z,MCH0001,C1,RCP_0001,SENSOR_0002,gas_flow,417.649,Pa,OK
2025-01-01T00:01:00Z,MCH0001,C1,RCP_0001,SENSOR_0003,pressure,435.143,C,OK
2025-01-01T00:01:05Z,MCH0001,C1,RCP_0001,SENSOR_0004,gas_flow,197.827,Pa,WARN
2025-01-01T00:01:10Z,MCH0001,C1,RCP_0001,SENSOR_0005,gas_flow,176.19,W,OK
2025-01-01T00:01:15Z,MCH0001,C1,RCP_0001,SENSOR_0001,gas_flow,122.044,Pa,OK
2025-01-01T00:01:20Z,MCH0001,C1,RCP_0001,SENSOR_0002,gas_flow,241.192,sccm,OK
2025-01-01T00:01:25Z,MCH0001,C1,RCP_0001,SENSOR_0003,temperature,238.609,Pa,OK
2025-01-01T00:01:30Z,MCH0001,C1,RCP_0001,SENSOR_0004,pressure,199.297,Pa,OK
2025-01-01T00:01:35Z,MCH0001,C1,RCP_0001,SENSOR_0005,rf_power,395.394,W,OK
